budget,per_group,decision_rate,median_p,q10_p,q90_p,mean_delta,q10_delta,q90_delta
20,10,0.021,0.26652291880422285,0.03033398337003347,0.7398239242566687,0.2901047290841117,-0.30309007734060284,0.8637885306030513
40,20,0.0405,0.19424838376707682,0.017032462254911184,0.6471922956865318,0.28328120021754877,-0.1290782754123211,0.7065378563851118
60,30,0.0545,0.15626616566994736,0.011964758979955498,0.5929519464736611,0.2756802162822957,-0.06466592287023865,0.6010513895750047
80,40,0.0795,0.11166035807669933,0.006788660894633023,0.4834326687491484,0.2875456698568538,0.009887237437069398,0.5685061001218855
100,50,0.1125,0.08394555811288104,0.004279195548760577,0.4236296228148311,0.2911567575192824,0.03948864661157131,0.5575773289650678
150,75,0.171,0.046318989231452626,0.0019973055077717396,0.29594200700757545,0.2883923505412787,0.08841505790253482,0.49247382846971355
200,100,0.239,0.026322305444556278,0.0010634877569898197,0.21679400970199705,0.2857917579524778,0.11681443480029703,0.456612463388592
250,125,0.311,0.014336562277050737,0.0005920222170710918,0.13065149384392058,0.2889011683280468,0.14847284725010393,0.42836851999461656
300,150,0.4005,0.009085741366843437,0.00031527535003028173,0.09880491236060915,0.28464339941974726,0.1578461273560921,0.4131401195699971
350,175,0.505,0.0048509850166094,0.00017416292160764619,0.05476450025747364,0.28943311126172544,0.17748332815936632,0.3990737852752209
400,200,0.6015,0.0027669727110695057,8.148797372156823e-05,0.03955719452466906,0.2883373325012624,0.1837415006123483,0.3936586140636355
450,225,0.657,0.001894426844751587,6.357401163279616e-05,0.0252601840534817,0.2845878098243558,0.19206576530304223,0.37516566306352617
500,250,0.7745,0.0009205622004755691,3.79378388391537e-05,0.013396801352971386,0.2896441664314344,0.20525001113116745,0.3689561190664769
550,275,0.8385,0.0006650182966788393,2.2611948990772257e-05,0.009528157868471583,0.2870018760034374,0.2086290050257336,0.3624376223087311
590,295,0.889,0.00037617734635766255,1.6754407735753227e-05,0.005526571158406992,0.2886012716933706,0.21823891411519655,0.3565569215608856
650,325,0.9525,0.00021879685144275113,1.0806397864314805e-05,0.0026914014341907016,0.287549061345865,0.22802365461794227,0.34774721779731604
700,350,0.983,0.00014338446432729727,7.70947346578125e-06,0.0014602973418468537,0.28729752795679764,0.23417564950670516,0.3408013718117561
800,400,0.9985,4.407362661753753e-05,3.7688419788618033e-06,0.00040850451585342846,0.28883873548501177,0.24614699604548518,0.33017333566118034
900,450,1.0,1.9793540843503255e-05,2.856580656672806e-06,9.79324006528678e-05,0.2867817458231002,0.2590483423479729,0.3153570508841012
1000,500,1.0,6.681074486407842e-06,6.681074486407839e-06,6.681074486407842e-06,0.28754168480634684,0.2875416848063469,0.2875416848063469
