budget,per_group,decision_rate,median_p,q10_p,q90_p,mean_delta,q10_delta,q90_delta
20,10,0.001,0.6233159353787174,0.14965507403594533,0.9392193165881761,-0.15561138637885452,-0.8332615899294614,0.5490730156749489
40,20,0.001,0.6537196534262892,0.18728896758162591,0.9465287442207778,-0.15216119290548377,-0.6390233652293682,0.3386194181256002
60,30,0.0025,0.7014294040745578,0.2453765329468426,0.9554248732810943,-0.16129885339516525,-0.5491905926416317,0.21145945057272916
80,40,0.0,0.715550392073366,0.252582912069397,0.961502008268749,-0.15112930907208938,-0.47325500721111896,0.18273551279678948
100,50,0.0,0.7404226681312258,0.28261183179304966,0.9668155876333893,-0.1544196563337557,-0.4535132590979338,0.14223457590118055
150,75,0.0,0.7869788858721206,0.309770573238784,0.9708199237801635,-0.15153090435811628,-0.38091772934297724,0.09831652458012129
200,100,0.0005,0.8115924706844062,0.393713026987514,0.9778375970799097,-0.15376738916533067,-0.35149780424125493,0.046449501663446455
250,125,0.0,0.8428178982625499,0.46194601760389076,0.9806768108714917,-0.1547843069125861,-0.3183155721455812,0.014914092341065511
300,150,0.0,0.8638412367227808,0.5007191021243282,0.9847486539392766,-0.15444696725406992,-0.3046093355119228,-0.00025827722499761137
350,175,0.0,0.8781803228201972,0.570005435817928,0.9857979738358676,-0.1518117599681073,-0.2850664931642158,-0.022718565953629342
400,200,0.0,0.8953361782638432,0.5956282179868239,0.9888323154685748,-0.1536347962930193,-0.2777928942032158,-0.028807379477657356
450,225,0.0,0.9124442431507667,0.6576892991205522,0.989554607234181,-0.15528559650900048,-0.2648334846364127,-0.04711253091444566
500,250,0.0,0.9172894909678021,0.6891945141556269,0.9877912613875995,-0.1509641275671497,-0.24675864715501666,-0.05436061258912084
550,275,0.0,0.9317601012440362,0.7293476795669297,0.9895221931386543,-0.15344790529869834,-0.24102538860589268,-0.06380079062689427
590,295,0.0,0.9339257016731415,0.754476352707589,0.9896244795084623,-0.15157799205164724,-0.2339722663928139,-0.06937679405308372
650,325,0.0,0.941578916891552,0.8066115410134144,0.9904128849520532,-0.15283397363588216,-0.22449943458403532,-0.08311953730938526
700,350,0.0,0.9510715681595121,0.8342679432470391,0.99028306558195,-0.15287893850074816,-0.21597088840816703,-0.08998775857314466
800,400,0.0,0.9593086374504928,0.8818621730270947,0.9908207469633593,-0.1515794764733035,-0.20288002374209466,-0.10251739103719591
900,450,0.0,0.9706411139691261,0.9315064821247243,0.9891624228482853,-0.15371369803772,-0.18688438661437895,-0.12115359106825456
1000,500,0.0,0.9757967787844631,0.9757967787844631,0.9757967787844631,-0.1524586986489594,-0.15245869864895942,-0.15245869864895942
