budget,per_group,decision_rate,median_p,q10_p,q90_p,mean_delta,q10_delta,q90_delta
20,10,0.0375,0.2145705582242361,0.018193571096537835,0.6736647085632622,0.44770555744990703,-0.231273854225874,1.1586368188261986
40,20,0.074,0.12107138653143529,0.007965828468341901,0.5340699071129544,0.4517123440882191,-0.027240910753607808,0.9439632722735406
60,30,0.1015,0.08295152839642703,0.0048785884219313186,0.4313559767803689,0.4429449888121958,0.05162752802173298,0.8206773982693752
80,40,0.1555,0.05155748106131386,0.0022686238149390568,0.31795791186141326,0.45253285920680497,0.12726628965698186,0.7851717302575708
100,50,0.2095,0.03334210577373245,0.0013786044174150286,0.27322432919686795,0.44956427947998046,0.15195573605597018,0.7463577896505595
150,75,0.341,0.01291328671066319,0.0002774699595466757,0.13527786006560322,0.4524170855566363,0.22549367670218146,0.704300700455904
200,100,0.5015,0.004956946041850283,0.00010402669965538405,0.07393777969052939,0.45016334567641836,0.2519255583547056,0.6509357397556305
250,125,0.639,0.002098157881158121,3.4647363887995015e-05,0.032703118033027216,0.44904777967430654,0.28609313029050826,0.6165921602010727
300,150,0.758,0.0008168874846791023,1.2626318549512237e-05,0.018077579985274296,0.44943019373048093,0.2983467496136824,0.6037539891724786
350,175,0.8625,0.00031982730700871246,4.93092271404039e-06,0.007205043465461651,0.45214166009177054,0.31834310547368866,0.5809320467987231
400,200,0.918,0.00013523758736872296,1.5867069249117902e-06,0.0038745960134380507,0.4502579826685414,0.3258906759805978,0.5747574431467801
450,225,0.966,6.0076485738498156e-05,8.387395807589618e-07,0.0017901342865113048,0.44859002476005916,0.33761259185605574,0.5580494109921985
500,250,0.9835,2.0473036404882478e-05,2.903021217653139e-07,0.0006406092215933025,0.45294424138305334,0.35696385449916124,0.5505003691345454
550,275,0.993,1.0323493897999156e-05,1.5659094924513893e-07,0.0002810970313240679,0.4504080640773204,0.3630746954489838,0.5387736384015193
590,295,0.998,4.131344879389868e-06,7.462292199011323e-08,0.00013092777882549013,0.4522792451734891,0.3696116251119618,0.5348140812311638
650,325,0.9995,1.4295745840880914e-06,3.4338182508747177e-08,4.254405171845536e-05,0.45099570901706243,0.37963485620572013,0.5204535013311186
700,350,1.0,6.658697836304189e-07,1.8231366353016125e-08,1.5569163768409484e-05,0.4509031754838196,0.38729145930068837,0.5136825462345567
800,400,1.0,1.0901964019872769e-07,4.068689001690166e-09,1.937928424898582e-06,0.4522614896110352,0.401255181289278,0.5016298627834767
900,450,1.0,2.1897823853544422e-08,2.1174623005898457e-09,1.804083936578878e-07,0.45014047799773926,0.41677341224584324,0.4830533045315081
1000,500,1.0,3.4793953072925e-09,3.4793953072925e-09,3.479395307292501e-09,0.4513911030218003,0.4513911030218005,0.4513911030218005
