budget,per_group,teacher_clean_delta,teacher_clean_p,teacher_clean_cohen_d,teacher_clean_decision_p001,teacher_protected_delta,teacher_protected_p,teacher_protected_cohen_d,teacher_protected_decision_p001,student_delta,student_p,student_cohen_d,student_decision_p001
20,10,-0.8162460371851921,0.8997978889569275,-0.6101675460540025,False,-0.12002936005592346,0.5775941884619358,-0.08968088864075877,False,0.4982256397604942,0.21532548521135758,0.36731192315366773,False
40,20,-0.7927284128963947,0.9559955633475544,-0.5620323980696202,False,-0.09718039631843567,0.585271394439336,-0.06884846703413627,False,0.20898553654551505,0.2922552787031212,0.17515852884929736,False
60,30,-0.7433067950109641,0.9830906453053887,-0.5680186024199522,False,-0.06003223285079007,0.5701357855196536,-0.04593346943919359,False,0.12808521476884682,0.3341653084292199,0.11144542010634632,False
80,40,-0.7114136703312397,0.9945589775682704,-0.590233553087503,False,-0.030732359178364255,0.5452185882382211,-0.025521689749353427,False,0.07697036666795612,0.3754710315850023,0.07132947356919385,False
100,50,-0.6466155856847763,0.9937344534227238,-0.5137479968035712,False,0.03147583454847336,0.4504419062294336,0.025007197843436708,False,0.10722210921347142,0.31128670885120485,0.0988891775112454,False
150,75,-0.5043254715204238,0.9934996214380564,-0.412892083512196,False,0.16332364877065025,0.2071567076817183,0.1338576504933215,False,0.15590691690643627,0.17976618674875866,0.15026025054302894,False
200,100,-0.40790478818118575,0.9891399980982771,-0.3282680326494574,False,0.2567253438383341,0.07297710387507214,0.20677537741602262,False,0.23328872937709091,0.0520646919050674,0.231195936683788,False
250,125,-0.3067870807349682,0.9711768547565627,-0.24172339699920303,False,0.3515757417678833,0.014932438380407262,0.2769916189540685,False,0.2338207470476627,0.032668290334417656,0.23441000570639486,False
300,150,-0.2681160161147515,0.968186475446475,-0.21529168777331448,False,0.38621543670694036,0.00391019208263018,0.3100460174822495,False,0.2524645848820607,0.012424011451956112,0.26068270540617533,False
350,175,-0.24631481194070406,0.9658514405957517,-0.195711615127312,False,0.4024075548563685,0.0015230994284337182,0.3197916687184148,False,0.23941523715853694,0.01285014230081806,0.23968338694086685,False
400,200,-0.20085514611564578,0.9448743425460239,-0.1601814440433539,False,0.4436795985326171,0.00023159990105072874,0.3540387597438415,True,0.2772557532228529,0.0031991689980189076,0.2743590768935972,False
450,225,-0.11738779125114282,0.8381476268509815,-0.09317646950651637,False,0.5233794644309414,6.941965047530373e-06,0.4156966684445107,True,0.2953780606223477,0.0009629463557416715,0.29439698540726467,True
500,250,-0.14891547770053148,0.9113994181099108,-0.12091352454577338,False,0.48673162038624285,6.384858398854468e-06,0.39537780025418656,True,0.26880955080687996,0.001563267400159884,0.26578274923538137,False
550,275,-0.18679767975075678,0.9625500057541888,-0.15224812565356083,False,0.44560192299160095,1.2493522134692559e-05,0.36328161877064746,True,0.23556192044507374,0.00352631433954723,0.23073754924163703,False
590,295,-0.199399935675122,0.9758607999026219,-0.16303008381923234,False,0.4301619091655238,1.1700683775746163e-05,0.351744648993766,True,0.2253449838924206,0.00400707631657708,0.21914716464670386,False
650,325,-0.1559996246202634,0.945507401744383,-0.12594965998898516,False,0.4697941373747129,8.708799795755264e-07,0.3794612517564386,True,0.2998324161194838,0.00012157854436364792,0.2896457271837453,True
700,350,-0.1650541066644447,0.9620320440937231,-0.134409383782253,False,0.4566748039530857,5.702944298086611e-07,0.3719078085115275,True,0.29896110785858976,6.010582988046223e-05,0.2925252907042779,True
800,400,-0.144223381835036,0.9507689513135318,-0.11701184163918286,False,0.47190714930184186,4.343306853922677e-08,0.38294581541777456,True,0.3227141356654465,4.818215608927239e-06,0.31518625865327476,True
900,450,-0.1430034826654527,0.9595188781633212,-0.11650673141625785,False,0.46615030802786356,8.840794453621328e-09,0.37989310441820684,True,0.3030425318247742,5.322218114481199e-06,0.295451580076914,True
1000,500,-0.15245869864895942,0.9757967787844631,-0.12502486914897773,False,0.4513911030218005,3.479395307292476e-09,0.3703209167205733,True,0.2875416848063469,6.681074486407842e-06,0.2769335802784231,True
