budget,per_group,p_value,delta,significant_p005
20,10,0.21532548521135758,0.4982256397604942,False
40,20,0.2922552787031212,0.20898553654551505,False
60,30,0.3341653084292199,0.12808521476884682,False
80,40,0.3754710315850023,0.07697036666795612,False
100,50,0.31128670885120485,0.10722210921347142,False
150,75,0.17976618674875866,0.15590691690643627,False
200,100,0.0520646919050674,0.23328872937709091,False
250,125,0.032668290334417656,0.2338207470476627,False
300,150,0.012424011451956112,0.2524645848820607,False
350,175,0.01285014230081806,0.23941523715853694,False
400,200,0.0031991689980189076,0.2772557532228529,True
450,225,0.0009629463557416715,0.2953780606223477,True
500,250,0.001563267400159884,0.26880955080687996,True
550,275,0.00352631433954723,0.23556192044507374,True
590,295,0.00400707631657708,0.2253449838924206,True
650,325,0.00012157854436364792,0.2998324161194838,True
700,350,6.010582988046223e-05,0.29896110785858976,True
800,400,4.818215608927239e-06,0.3227141356654465,True
900,450,5.322218114481199e-06,0.3030425318247742,True
1000,500,6.681074486407842e-06,0.2875416848063469,True
