queries_per_group,total_queries,prefix_delta,prefix_p,bootstrap_sig_rate_p005,bootstrap_median_p
8,16,0.2937986101023853,0.05249714077771609,0.023,0.2991584688687845
12,24,0.21401405117164057,0.05126780044936708,0.019,0.23524019951289243
16,32,0.30331129604019225,0.00337813421109031,0.033,0.2120370885749478
24,48,0.28853437351062894,0.00036332900255684494,0.047,0.16818584225936375
32,64,0.22762849822174758,0.0008060323129284125,0.055,0.1337169577526382
48,96,0.1798782010640328,0.0014745410131837863,0.089,0.08717897224588722
64,128,0.10876488979556598,0.0209031061873487,0.121,0.05782797813972874
96,192,0.07156324276002124,0.043267295676825135,0.212,0.028465973161256528
128,256,0.07596548172296025,0.016252430169068632,0.287,0.01492188151711848
192,384,0.06893036982122189,0.009069621905090475,0.616,0.0033507721615414644
256,512,0.0776526951813139,0.0008940872842845036,1.0,0.0008940872842845036
