queries_per_group,total_queries,prefix_delta,prefix_p,bootstrap_sig_rate_p005,bootstrap_median_p
8,16,0.4384856494143605,0.045357577694122936,0.015,0.2602048051437167
12,24,0.26795743964612484,0.0710742636315207,0.029,0.2403613228969901
16,32,0.2902335482649505,0.036989537595888626,0.044,0.19031870209671087
24,48,0.27393408670711017,0.0096781839984388,0.076,0.13693351504643125
32,64,0.20263157814042643,0.020359849532360752,0.067,0.10665187212951507
48,96,0.13957883204178262,0.04012872573854056,0.112,0.08022563647229716
64,128,0.087862887972733,0.10749382488837513,0.153,0.048082429948788884
96,192,0.07785160988957311,0.07755517454285235,0.239,0.019676069778516846
128,256,0.0978914486040594,0.016395031658066914,0.372,0.009354969685761825
192,384,0.08668917699833402,0.01196806138376574,0.732,0.001890383129354533
256,512,0.10848463718866697,0.0004279336870852643,1.0,0.0004279336870852643
