queries_per_group,total_queries,prefix_delta,prefix_p,bootstrap_sig_rate_p005,bootstrap_median_p
8,16,0.4854365708306432,0.02515095015744215,0.016,0.28228260835946706
12,24,0.3953233280529579,0.01559287910525342,0.025,0.23845299654052085
16,32,0.3287395986262709,0.017967138487306,0.045,0.19714720323824653
24,48,0.365939336673667,0.0011840191625762607,0.04,0.17124788876808195
32,64,0.2511625796323642,0.007826559060091238,0.063,0.1259540809116144
48,96,0.22219862028335532,0.003091170294955402,0.106,0.07307058303033
64,128,0.12606585852336138,0.037108760707438716,0.146,0.0498280209611508
96,192,0.07424157359249269,0.09727945595997936,0.239,0.022037282133771204
128,256,0.06928113767935429,0.07465165737908508,0.358,0.010017264243674112
192,384,0.07976273269741796,0.021674923011393933,0.7,0.0022514440306555415
256,512,0.11027768092026236,0.0004837227645833754,1.0,0.0004837227645833754
