queries_per_group,total_queries,prefix_delta,prefix_p,bootstrap_sig_rate_p005,bootstrap_median_p
8,16,0.42144650500267744,0.0495806474611804,0.021,0.25664364631999903
12,24,0.336094002549847,0.02855859102227265,0.027,0.2354031338774281
16,32,0.2528600925579667,0.0512688597735184,0.044,0.18885262977068384
24,48,0.2625437146052718,0.009114546105088479,0.047,0.14400675486040249
32,64,0.25556760211475194,0.004092412641788221,0.069,0.12170477807016755
48,96,0.1818037216241161,0.01061696690105354,0.112,0.06807977075343083
64,128,0.10207815759349614,0.0750956598855863,0.159,0.043754184123678416
96,192,0.11017475502255061,0.026200732148684566,0.307,0.015539986392431464
128,256,0.0939615327224601,0.027058309515719612,0.424,0.006996136671979169
192,384,0.0922432261092278,0.009279955110802257,0.808,0.0012927502421011953
256,512,0.11503875409835018,0.00027524902217037955,1.0,0.00027524902217038037
