queries_per_group,total_queries,prefix_delta,prefix_p,bootstrap_sig_rate_p005,bootstrap_median_p
8,16,0.34987641870975494,0.058034796232143776,0.025,0.2659071587310502
12,24,0.22605989252527553,0.09720217554248918,0.034,0.2189311081394168
16,32,0.2350867222994566,0.050555192679705256,0.041,0.1800353204736409
24,48,0.2745180670171976,0.005075324123950762,0.061,0.12649337261305893
32,64,0.24900264968164265,0.0026573128825442597,0.088,0.10759159274046043
48,96,0.17565515598592657,0.009063752022198801,0.151,0.05712207742450934
64,128,0.12005935312481597,0.029873794401568725,0.188,0.03823744421471699
96,192,0.10264331944442043,0.020204726414574697,0.304,0.014909443774585213
128,256,0.0941812013334129,0.012562126934816826,0.476,0.0055872575293721225
192,384,0.09148395797334768,0.004639944292789544,0.867,0.0010968031937073825
256,512,0.10660523747719708,0.00016085081095872685,1.0,0.00016085081095872685
